2025-11-25 14:25:06,839 - INFO - Starting new AI run: unnamed
2025-11-25 14:25:06,839 - INFO - Game controller initialized
2025-11-25 14:25:06,839 - INFO - Game started
2025-11-25 14:25:27,300 - INFO - Starting game in astar mode
2025-11-25 14:25:27,339 - INFO - ASTAR found path: length=20, nodes_expanded=85
2025-11-25 14:25:27,376 - INFO - ASTAR found path: length=19, nodes_expanded=84
2025-11-25 14:25:27,413 - INFO - ASTAR found path: length=18, nodes_expanded=70
2025-11-25 14:25:27,451 - INFO - ASTAR found path: length=17, nodes_expanded=56
2025-11-25 14:25:27,488 - INFO - ASTAR found path: length=16, nodes_expanded=42
2025-11-25 14:25:27,525 - INFO - ASTAR found path: length=15, nodes_expanded=28
2025-11-25 14:25:27,563 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:27,600 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:27,637 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:27,675 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:27,712 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:27,749 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:27,786 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:27,824 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:27,862 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:27,899 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:27,936 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:27,973 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:28,011 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:28,049 - INFO - ASTAR found path: length=5, nodes_expanded=7
2025-11-25 14:25:28,086 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-25 14:25:28,123 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:28,160 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:28,198 - INFO - ASTAR found path: length=9, nodes_expanded=17
2025-11-25 14:25:28,236 - INFO - ASTAR found path: length=8, nodes_expanded=17
2025-11-25 14:25:28,273 - INFO - ASTAR found path: length=7, nodes_expanded=15
2025-11-25 14:25:28,311 - INFO - ASTAR found path: length=6, nodes_expanded=12
2025-11-25 14:25:28,349 - INFO - ASTAR found path: length=5, nodes_expanded=9
2025-11-25 14:25:28,387 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-25 14:25:28,424 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:28,462 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:28,500 - INFO - ASTAR found path: length=13, nodes_expanded=23
2025-11-25 14:25:28,537 - INFO - ASTAR found path: length=12, nodes_expanded=28
2025-11-25 14:25:28,574 - INFO - ASTAR found path: length=11, nodes_expanded=32
2025-11-25 14:25:28,612 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-25 14:25:28,649 - INFO - ASTAR found path: length=9, nodes_expanded=16
2025-11-25 14:25:28,686 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:28,724 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:28,762 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:28,800 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:28,837 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:28,875 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:28,913 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:28,951 - INFO - ASTAR found path: length=22, nodes_expanded=90
2025-11-25 14:25:28,989 - INFO - ASTAR found path: length=21, nodes_expanded=72
2025-11-25 14:25:29,027 - INFO - ASTAR found path: length=20, nodes_expanded=54
2025-11-25 14:25:29,064 - INFO - ASTAR found path: length=19, nodes_expanded=36
2025-11-25 14:25:29,102 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:29,140 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:29,177 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:29,215 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:29,252 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:29,289 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:29,328 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:29,365 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:29,403 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:29,441 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:29,477 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:29,515 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:29,552 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:29,589 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:29,625 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:29,663 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:29,701 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:29,740 - INFO - ASTAR found path: length=36, nodes_expanded=204
2025-11-25 14:25:29,778 - INFO - ASTAR found path: length=35, nodes_expanded=203
2025-11-25 14:25:29,816 - INFO - ASTAR found path: length=34, nodes_expanded=174
2025-11-25 14:25:29,853 - INFO - ASTAR found path: length=33, nodes_expanded=145
2025-11-25 14:25:29,889 - INFO - ASTAR found path: length=32, nodes_expanded=116
2025-11-25 14:25:29,927 - INFO - ASTAR found path: length=31, nodes_expanded=87
2025-11-25 14:25:29,964 - INFO - ASTAR found path: length=30, nodes_expanded=58
2025-11-25 14:25:30,001 - INFO - ASTAR found path: length=29, nodes_expanded=29
2025-11-25 14:25:30,038 - INFO - ASTAR found path: length=28, nodes_expanded=28
2025-11-25 14:25:30,076 - INFO - ASTAR found path: length=27, nodes_expanded=27
2025-11-25 14:25:30,113 - INFO - ASTAR found path: length=26, nodes_expanded=26
2025-11-25 14:25:30,151 - INFO - ASTAR found path: length=25, nodes_expanded=25
2025-11-25 14:25:30,188 - INFO - ASTAR found path: length=24, nodes_expanded=24
2025-11-25 14:25:30,226 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:30,263 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:30,301 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:30,338 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:30,375 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:30,414 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:30,452 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:30,490 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:30,527 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:30,565 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:30,604 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:30,641 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:30,679 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:30,716 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:30,754 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:30,791 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:30,828 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:25:30,866 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:25:30,903 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:25:30,940 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:25:30,977 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:25:31,016 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:25:31,054 - INFO - ASTAR found path: length=32, nodes_expanded=61
2025-11-25 14:25:31,091 - INFO - ASTAR found path: length=31, nodes_expanded=60
2025-11-25 14:25:31,129 - INFO - ASTAR found path: length=30, nodes_expanded=30
2025-11-25 14:25:31,167 - INFO - ASTAR found path: length=29, nodes_expanded=29
2025-11-25 14:25:31,205 - INFO - ASTAR found path: length=28, nodes_expanded=28
2025-11-25 14:25:31,242 - INFO - ASTAR found path: length=27, nodes_expanded=27
2025-11-25 14:25:31,279 - INFO - ASTAR found path: length=26, nodes_expanded=26
2025-11-25 14:25:31,316 - INFO - ASTAR found path: length=25, nodes_expanded=25
2025-11-25 14:25:31,354 - INFO - ASTAR found path: length=24, nodes_expanded=24
2025-11-25 14:25:31,391 - INFO - ASTAR found path: length=23, nodes_expanded=23
2025-11-25 14:25:31,428 - INFO - ASTAR found path: length=22, nodes_expanded=22
2025-11-25 14:25:31,466 - INFO - ASTAR found path: length=21, nodes_expanded=21
2025-11-25 14:25:31,503 - INFO - ASTAR found path: length=20, nodes_expanded=20
2025-11-25 14:25:31,541 - INFO - ASTAR found path: length=19, nodes_expanded=19
2025-11-25 14:25:31,579 - INFO - ASTAR found path: length=18, nodes_expanded=18
2025-11-25 14:25:31,617 - INFO - ASTAR found path: length=17, nodes_expanded=17
2025-11-25 14:25:31,654 - INFO - ASTAR found path: length=16, nodes_expanded=16
2025-11-25 14:25:31,691 - INFO - ASTAR found path: length=15, nodes_expanded=15
2025-11-25 14:25:31,729 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:25:31,767 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:25:31,803 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:25:31,841 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:25:31,880 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:25:31,917 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:25:31,953 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:25:31,992 - INFO - ASTAR found path: length=7, nodes_expanded=7
