2025-11-25 14:51:51,541 - INFO - Starting new AI run: unnamed
2025-11-25 14:51:51,542 - INFO - Game controller initialized
2025-11-25 14:51:51,542 - INFO - Game started
2025-11-25 14:52:08,193 - INFO - Starting game in human mode
2025-11-25 14:52:26,467 - INFO - Starting game in astar mode
2025-11-25 14:52:26,505 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:26,543 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:26,581 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:26,618 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:26,656 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:26,694 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:26,731 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:26,770 - INFO - ASTAR found path: length=27, nodes_expanded=183
2025-11-25 14:52:26,808 - INFO - ASTAR found path: length=26, nodes_expanded=182
2025-11-25 14:52:26,845 - INFO - ASTAR found path: length=25, nodes_expanded=168
2025-11-25 14:52:26,883 - INFO - ASTAR found path: length=24, nodes_expanded=154
2025-11-25 14:52:26,920 - INFO - ASTAR found path: length=23, nodes_expanded=140
2025-11-25 14:52:26,957 - INFO - ASTAR found path: length=22, nodes_expanded=126
2025-11-25 14:52:26,993 - INFO - ASTAR found path: length=21, nodes_expanded=112
2025-11-25 14:52:27,030 - INFO - ASTAR found path: length=20, nodes_expanded=98
2025-11-25 14:52:27,067 - INFO - ASTAR found path: length=19, nodes_expanded=84
2025-11-25 14:52:27,104 - INFO - ASTAR found path: length=18, nodes_expanded=70
2025-11-25 14:52:27,142 - INFO - ASTAR found path: length=17, nodes_expanded=56
2025-11-25 14:52:27,180 - INFO - ASTAR found path: length=16, nodes_expanded=42
2025-11-25 14:52:27,218 - INFO - ASTAR found path: length=15, nodes_expanded=28
2025-11-25 14:52:27,256 - INFO - ASTAR found path: length=14, nodes_expanded=14
2025-11-25 14:52:27,293 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:52:27,331 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:52:27,367 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:52:27,405 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:52:27,443 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:52:27,482 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:27,519 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:27,556 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:27,593 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:27,630 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:27,667 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:27,704 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:27,742 - INFO - ASTAR found path: length=22, nodes_expanded=113
2025-11-25 14:52:27,780 - INFO - ASTAR found path: length=21, nodes_expanded=112
2025-11-25 14:52:27,818 - INFO - ASTAR found path: length=20, nodes_expanded=98
2025-11-25 14:52:27,854 - INFO - ASTAR found path: length=19, nodes_expanded=84
